year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
2002,22,18930198,124878.4727,14597.280029296875,13500.375244140625,15672754,0,212453152,16674791,116187.625,56419924,812919.4375,116187.625,16790978,929107.0625,0,6013629.5,0,0,0,0,0,0.022275732,0.004663459,53.129684354725505,664049.7248,617923.375,301227.1306,43.560151302164535,37.238940232402186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.930362157036235,56419924,0.010952219201855004,0.011769773472665437,0.29554791672530434,0.054489053821104985,0.029463213,44
2003,23,19061376,122459.6426,13275.36816,12290.966552734375,15756653,0,213773936,16544485,116103.2422,56725200,794609.5625,116103.2422,16660589,910712.75,0,5940193,0,0,0,0,0,0.022291510785486964,0.004543567,48.045504400729236,687675.3821,636064.5,340321.96825000003,39.55575692464815,34.23672052837558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.29667831576865,56725200,0.011213085,0.012122926,0.29166023213668707,0.053521181049028636,0.028637751,44
2004,24,18760599,126875.3984,13275.36767578125,12459.721923828125,15496489.75,0,215255040,16293716,115568.8516,57049916,783499.875,115568.8516,16409283,899068.6875,0,5827155,0,0,0,0,0,0.021788803411989795,0.00467753,47.76621879041965,706238.3985750001,612270.125,320352.6627,39.05077630448682,35.25672119672032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.64578627115061,57049916,0.010732183,0.012379306545780016,0.285604557,0.052199784,0.028074437,44
2005,25,18707722,123809.6934,14709.78369140625,13275.36914,15367335.5,0,216989840,16210210,115400.0938,57473352,759761.6875,115400.0938,16325610,875161.8125,0,5810252,0,0,0,0,0,0.021553684,0.004525422,52.52918248125066,712988.5863750001,607038.75,411480.198,43.504165389875034,36.633436092366935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.21227414089387,57473352,0.010562090584171948,0.012405550773774254,0.282047409,0.051658678,0.027020022337630747,44
2006,26,18962992,129772.3477,13669.129638671875,12544.09912109375,15438016.5,0,218806768,16183912,115062.5859,57945372,761843,115062.5859,16298974,876905.5625,0,5827915,0,0,0,0,0,0.021666368,0.004703383,48.40676339111299,736895.5015,593538.375,424980.57357500005,40.70761312093642,33.805077154067334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.24239421,57945372,0.010243067815666107,0.012717073,0.2792960238481168,0.051386893223743985,0.026869812,44
2007,27,18950364,120237.709,13894.13525390625,12544.09912109375,15422068.5,0,220612160,16170216,115118.8438,58427312,750170.875,115118.8438,16285333,865289.6875,0,5807017,0,0,0,0,0,0.02147475,0.004319813,48.804335884967166,760239.9009750001,608613.75,426386.86270000006,40.68189521850371,32.274668687657545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.88476422548778,58427312,0.010416596779259673,0.013011721315794917,0.2767578285990634,0.050788735292650364,0.02624427,44
2008,28,18944260,131431.7754,13697.255126953125,12628.476806640625,15426512.75,0,222672096,16150976,115006.3359,58958392,751408.375,115006.3359,16265984,866414.75,0,5805077,0,0,0,0,0,0.021269234,0.004678596,47.67820912581615,780771.7222000001,589853.875,427511.89400000003,38.86451709108016,32.71728072567922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.78267171218739,58958392,0.010004578737493384,0.013242758082683125,0.27393854296433323,0.050315209,0.026051175219416474,44
2009,29,19086295,118803.2949,13190.990478515625,11334.690185546875,15503887,0,224512640,16091799,115400.0938,59451144,737373.5,115400.0938,16207199,852773.6875,0,5803473.5,0,0,0,0,0,0.021253029450813993,0.004191794,45.54295213837328,779927.9487,572415.875,378573.03245000006,37.600122517029284,29.503169861128946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.97862477433863,59451144,0.009628341,0.013118804723505404,0.2706726551805294,0.049893604,0.025357380311717848,44
2010,30,19062867,116693.8574,12515.97168,12600.35059,15505686.5,0,226395376,16108395,113796.9297,59939216,726854.5625,113796.9297,16222191,840651.4375,0,5805020,0,0,0,0,0,0.021050416,0.004082536,42.86772454631858,793428.3243,580122.375,368729.00857500004,36.190397231553455,31.639251954173027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.98917155394742,59939216,0.009678511,0.013237215587287628,0.2687455071150747,0.049513107,0.024798417527330287,44
2011,31,19130172,120659.5957,14231.64453,12881.60888671875,15533109,0,228381904,16189931,113740.6797,60483092,713016.75,113740.6797,16303673,826757.375,0,5828280.5,0,0,0,0,0,0.020940989,0.004181494,48.31673776628791,795678.3869250001,580797.375,418230.38577500003,39.96518066407827,31.527874312524478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.56511029700102,60483092,0.00960264,0.013155385424491859,0.26767697326056017,0.049277556293093806,0.024113954732304866,44
2012,32,19094677,119281.4375,13697.25488,12290.966552734375,15516965.5,0,230308800,16176937,113796.9297,60982316,705703.9375,113796.9297,16290733,819500.9375,0,5853565.5,0,0,0,0,0,0.020727255102714268,0.004098975,46.13078884530923,799334.7386500001,592610.25,394885.98630000005,38.12469239,30.810582455710037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.23652940646068,60982316,0.009717739,0.013107648103263248,0.2652725914837344,0.049097181,0.02367656,44
2013,33,18933853,124400.3262,12881.607177734375,12572.224853515625,15418328.25,0,232236544,16083757,112559.3906,61423420,697688.125,112559.3906,16196316,810247.5,0,5790958,0,0,0,0,0,0.020382077551067933,0.004242087,43.06733183784237,768958.8936,580769.25,343415.80432500003,36.562659014016035,31.759785548954973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.87538151,61423420,0.009455176,0.012518985324327431,0.26185056123543754,0.048221094196273184,0.023238493385893125,44
