measure,quantile,infections,cancers,group,n_ranked,n_infections,n_cancers,cancers_unattributed_frac,spearman_theta_vs_rships,spearman_theta_vs_rship_rate,Seed
downstream_gen1,0.1,0.43879733159347234,0.4541024203236923,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen2,0.1,0.5577383687730529,0.5737883170548592,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen3,0.1,0.647862470731997,0.6420255220524541,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen0,0.2,0.37229816288251544,0.42722725408976164,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen1,0.2,0.6140439257202134,0.6261847375353121,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen2,0.2,0.735306451785807,0.7422827592621559,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
downstream_gen3,0.2,0.813370799078389,0.7984701338802813,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
gini,,0.10143090404540445,,all,441482,2187509773.3828125,547580.8031005859,0.24125535981609827,0.26719359651387004,0.4592891990291893,2
direct,0.01,0.06012523874244952,0.09071561585528067,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
direct,0.02,0.09252420654941536,0.13347964884277733,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
direct,0.05,0.16206166046590179,0.21129289704708698,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
direct,0.1,0.24624466197347614,0.30593242883745675,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
direct,0.2,0.37415594804491054,0.43429103484969406,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
direct,0.5,0.6521416140020178,0.6988560787443469,all,441687,2184099856.2021484,554077.8549804688,0.23675130002389855,0.26858394216035364,0.4581476703374831,3
